MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SaleType,SaleCondition,OverallQual,GrLivArea,GarageCars,Real,Predicho,Probabilidad_Cara,Error
RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,Slab,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Mod,Po,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-0.7951514718918303,-1.3106095237456858,-1.02685765142659,0,0,0.0003695147328358896,False
RM,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Fa,N,SBrkr,Fa,Typ,Gd,Detchd,Unf,Fa,TA,Y,Gd,MnPrv,Shed,WD,Normal,-1.518466829500598,-1.8950370318198386,-1.02685765142659,0,0,4.936692088636269e-05,False
RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,BrkFace,TA,TA,CBlock,TA,TA,No,LwQ,Rec,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,GdPrv,Shed,WD,Normal,-0.7951514718918303,-0.5129706772210277,-1.02685765142659,0,0,0.04185331893919295,False
RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,BuiltIn,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,1.3747946009344731,1.822835682410847,1.6503069397927341,1,1,0.99421124794777,False
RL,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,New,Partial,2.0981099585432412,-0.01801578438949764,0.31172464418307205,1,1,0.9584008975061994,False
RL,Pave,Grvl,IR1,HLS,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,New,Partial,1.3747946009344731,0.49597583508939896,1.6503069397927341,1,1,0.9989587126448236,False
RL,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,WdShing,Wd Shng,BrkFace,TA,TA,CBlock,TA,Gd,Av,ALQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,Gd,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-0.07183611428306244,1.2231787930188007,0.31172464418307205,1,0,0.4211961991033856,True
RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Gd,Y,FuseA,TA,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-0.7951514718918303,-0.9165492821451984,-1.02685765142659,0,0,0.00033048760954179656,False
RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,1.3747946009344731,1.4211607501514127,1.6503069397927341,1,1,0.998424771897533,False
RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,PConc,Gd,TA,Mn,BLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Gd,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,Oth,Abnorml,-0.7951514718918303,-1.0307696420293977,-2.365439947036252,0,0,0.0005265072969092293,False
FV,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Fa,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-0.07183611428306244,-0.10939207229685703,0.31172464418307205,0,0,0.02110284119671394,False
RL,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Norm,Norm,Duplex,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,Slab,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,Gd,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Alloca,-0.7951514718918303,0.037190722887865325,0.31172464418307205,0,0,0.0021530254978386044,False
RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,LwQ,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-0.7951514718918303,-0.5795992204868106,-1.02685765142659,0,0,0.0011519065619243058,False
RL,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-1.518466829500598,-1.1583157105667534,-1.02685765142659,0,0,0.0002669370742701921,False
RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,Gable,CompShg,Stucco,Stone,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Gd,N,FuseF,TA,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-2.241782187109366,-0.9051272461567784,0.31172464418307205,0,0,8.527518257669523e-06,False
RL,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,Stone,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,New,Partial,2.0981099585432412,1.6153353619545516,1.6503069397927341,1,1,0.9995903462469736,False
RL,Pave,Grvl,Reg,HLS,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-0.07183611428306244,-0.42730540730787825,0.31172464418307205,0,1,0.6062219474417737,True
RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,1.3747946009344731,1.668638196567178,1.6503069397927341,1,1,0.9985063543614868,False
RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Hip,CompShg,Wd Sdng,ImStucc,BrkFace,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,0.6514792433257054,1.7181336858503309,1.6503069397927341,1,1,0.9970369480533424,False
RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,GasA,Ex,Y,FuseA,TA,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-0.7951514718918303,-0.6957232530357464,-1.02685765142659,0,0,0.04763660488129398,False
RL,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-0.7951514718918303,-1.4000821389883085,-1.02685765142659,0,0,0.000229259769072578,False
RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-0.07183611428306244,-1.006021897387821,-1.02685765142659,0,0,7.221501075094667e-05,False
RM,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,Fa,BrkTil,Fa,Po,No,Unf,Unf,GasA,Gd,Y,Mix,TA,Maj2,Gd,Detchd,Unf,Po,Po,N,Gd,MnPrv,Shed,WD,Abnorml,-0.7951514718918303,-0.8346913575615222,-1.02685765142659,0,0,0.00013479121360646652,False
RL,Pave,Grvl,Reg,HLS,AllPub,Inside,Mod,Mitchel,Artery,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseA,TA,Typ,Gd,Attchd,RFn,TA,TA,N,Gd,MnPrv,Shed,WD,Normal,-0.7951514718918303,-1.0041182247230844,0.31172464418307205,0,0,0.003166595260076842,False
RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,BrkTil,Fa,TA,No,Unf,Unf,GasA,Gd,Y,FuseA,TA,Typ,Gd,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-0.7951514718918303,-1.198292836526223,-1.02685765142659,0,0,0.00018385628457769632,False
RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,TA,Attchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-0.07183611428306244,-0.21980508685158298,0.31172464418307205,0,0,0.016516813389469847,False
RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,AsbShng,AsbShng,BrkFace,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-1.518466829500598,0.10953028414785819,-1.02685765142659,0,0,0.014733250338075722,False
FV,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,Unf,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,New,Partial,1.3747946009344731,0.8062744794414736,1.6503069397927341,1,1,0.9361268720936831,False
RL,Pave,Grvl,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Abnorml,0.6514792433257054,-0.11891043562054031,0.31172464418307205,1,1,0.6847004460468585,False
RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-0.07183611428306244,-1.270632397786216,0.31172464418307205,0,0,0.07009358181139105,False
RL,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,New,Partial,0.6514792433257054,-0.11319941762633035,0.31172464418307205,0,1,0.7501187805546521,True
RM,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,BrkTil,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,TA,Min2,Gd,Detchd,Unf,TA,TA,Y,Gd,GdWo,Shed,COD,Normal,-0.7951514718918303,0.08287886684154502,0.31172464418307205,0,0,0.0008940978442146873,False
RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,Mansard,CompShg,WdShing,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,BLQ,GasA,Ex,Y,SBrkr,TA,Min1,Gd,Attchd,Fin,TA,TA,Y,Gd,GdWo,Shed,WD,Normal,-0.7951514718918303,0.19900289939048094,0.31172464418307205,0,0,0.07523590121401869,False
RL,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,ImStucc,BrkFace,TA,TA,CBlock,TA,TA,Gd,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Gd,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-0.7951514718918303,-1.331549923057789,-1.02685765142659,0,0,0.00263922985744373,False
RL,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,Plywood,Plywood,BrkFace,Gd,TA,CBlock,TA,TA,Gd,LwQ,ALQ,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,0.6514792433257054,2.312079557248167,0.31172464418307205,1,1,0.9975139520991773,False
RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,TA,N,SBrkr,TA,Typ,Gd,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-1.518466829500598,0.4807464537715057,-2.365439947036252,0,0,0.000739971106912258,False
RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,New,Partial,-0.07183611428306244,-0.3797135906894619,0.31172464418307205,0,0,0.08607047499908499,False
RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,Gd,Gd,BrkTil,TA,TA,No,Unf,Unf,GasW,Gd,N,SBrkr,Ex,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,0.6514792433257054,0.061938467529441835,0.31172464418307205,1,0,0.11513412098300398,True
FV,Pave,Grvl,Reg,Lvl,AllPub,FR3,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,0.6514792433257054,-0.12081410828527696,0.31172464418307205,0,0,0.2642209012765722,False
RL,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,New,Partial,0.6514792433257054,-0.033245165707390875,0.31172464418307205,1,1,0.8362897867644637,False
RL,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,2Story,Gable,CompShg,CemntBd,CmentBd,BrkFace,Gd,TA,CBlock,Gd,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,Ex,Typ,TA,Attchd,RFn,TA,TA,Y,Gd,GdPrv,Shed,WD,Normal,0.6514792433257054,1.5943949626424483,0.31172464418307205,1,1,0.9977071435050987,False
RL,Pave,Grvl,IR3,Lvl,AllPub,Inside,Gtl,NAmes,PosN,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,LwQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,TA,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-0.07183611428306244,0.2694387879857371,0.31172464418307205,0,0,0.022602345860498623,False
RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,0.6514792433257054,0.4807464537715057,0.31172464418307205,1,1,0.9156190594481888,False
RL,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,Gd,CBlock,Gd,TA,Gd,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Gd,Attchd,Fin,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,0.6514792433257054,1.3469175162266833,0.31172464418307205,1,1,0.8970869468834354,False
RM,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseA,TA,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,GdPrv,Shed,WD,Normal,0.6514792433257054,-1.259210361797796,0.31172464418307205,0,0,0.008547672779758072,False
RL,Pave,Grvl,IR1,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,SLvl,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,PConc,Gd,TA,Gd,ALQ,Rec,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-0.7951514718918303,-0.15888756158001005,0.31172464418307205,1,0,0.10895886953966856,True
RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Rec,GasA,Gd,Y,SBrkr,TA,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-0.07183611428306244,-0.07131861900212395,0.31172464418307205,0,0,0.06466628286141196,False
RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,GLQ,LwQ,GasA,Gd,Y,SBrkr,Gd,Typ,Gd,Detchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-0.07183611428306244,-0.9317786634630916,0.31172464418307205,0,0,0.014000844795086165,False
RL,Pave,Grvl,IR1,Low,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,1.3747946009344731,0.4312509644883527,0.31172464418307205,1,1,0.9945434551727202,False
RL,Pave,Grvl,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-0.7951514718918303,-1.000310879393611,0.31172464418307205,0,0,0.027679930431345045,False
RL,Pave,Grvl,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,PConc,Gd,TA,Av,Rec,Unf,GasA,TA,Y,SBrkr,Fa,Typ,TA,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Family,-0.7951514718918303,1.0746923251693419,0.31172464418307205,0,0,0.23718791697302555,False
RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,Gable,CompShg,AsbShng,AsbShng,BrkFace,Fa,Fa,BrkTil,TA,Fa,No,Unf,Unf,Grav,Fa,N,FuseA,Fa,Maj1,Po,Attchd,Unf,TA,TA,N,Gd,MnPrv,Shed,ConLw,Normal,-2.965097544718134,-1.3620086856935754,-2.365439947036252,0,0,0.0001410106671651304,False
RL,Pave,Grvl,Reg,HLS,AllPub,Inside,Mod,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,Gd,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,Gd,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-0.7951514718918303,-0.9051272461567784,-2.365439947036252,0,0,0.007044353236681307,False
RL,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-0.7951514718918303,-0.9051272461567784,-1.02685765142659,0,0,0.0017768903047999077,False
RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,BrkTil,TA,TA,Mn,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Gd,Detchd,Unf,Fa,Fa,N,Gd,MnPrv,Shed,WD,Normal,-0.7951514718918303,-0.004690075736341061,-1.02685765142659,0,0,0.010134024189550598,False
RL,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,0.6514792433257054,0.5359529610488687,0.31172464418307205,1,1,0.8539392189281396,False
RM,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,Stone,TA,Gd,CBlock,TA,TA,No,BLQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,Gd,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Abnorml,-0.7951514718918303,-1.3543939950346289,-1.02685765142659,0,0,0.00027811719133098646,False
RM,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Gd,Detchd,Unf,Fa,TA,Y,Gd,MnPrv,Shed,WD,Normal,-1.518466829500598,-1.1697377465551733,-1.02685765142659,0,0,0.0001612449249965021,False
RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,Gd,Detchd,Unf,TA,TA,Y,Gd,GdWo,Shed,WD,Normal,-1.518466829500598,-1.2249442538325364,2.988889235402396,0,0,0.00031986115232414544,False
RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,Duplex,1.5Fin,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,Slab,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,Gd,Attchd,Unf,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,-0.07183611428306244,0.7358385908462174,0.31172464418307205,0,0,0.006174470385764286,False
RL,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,Gd,MnPrv,Shed,WD,Normal,1.3747946009344731,0.2161359533731108,1.6503069397927341,1,1,0.9866373959784694,False
